,ZCTA5CE10,GEOID10,INTPTLAT10,INTPTLON10
292,13436,13436,+43.8110231,-074.6662260
293,13437,13437,+43.5803067,-075.8038595
294,13438,13438,+43.3541375,-075.1596134
295,13662,13662,+44.9323335,-074.8840383
296,13664,13664,+44.5840133,-075.6454597
297,13665,13665,+44.0484599,-075.4343659
298,13795,13795,+42.0566384,-075.7789378
299,13796,13796,+42.5571884,-075.1321293
300,13797,13797,+42.3336646,-076.0404014
301,13801,13801,+42.5050845,-075.7769695
302,13802,13802,+42.2421338,-076.0412660
303,13803,13803,+42.4568832,-076.0671236
304,13804,13804,+42.2257025,-075.3842201
305,13806,13806,+42.3755346,-074.9571143
306,14055,14055,+42.5628792,-078.6001258
307,14057,14057,+42.6465739,-078.8747823
308,14058,14058,+43.1020487,-078.1688569
309,10454,10454,+40.8055176,-073.9165896
310,10455,10455,+40.8147100,-073.9085917
311,10456,10456,+40.8298806,-073.9081200
312,10457,10457,+40.8471495,-073.8986780
313,10458,10458,+40.8625453,-073.8881454
314,10979,10979,+41.1828298,-074.3149208
315,10980,10980,+41.2389024,-074.0500130
316,10983,10983,+41.0310877,-073.9477026
317,10984,10984,+41.2029031,-074.0222645
318,10985,10985,+41.5835194,-074.3731882
319,11234,11234,+40.6050798,-073.9117206
320,11235,11235,+40.5839493,-073.9490961
321,11236,11236,+40.6394133,-073.9006642
322,11237,11237,+40.7041600,-073.9211389
323,11238,11238,+40.6791707,-073.9638044
324,11239,11239,+40.6477354,-073.8794772
325,11351,11351,+40.7807472,-073.8253009
326,11354,11354,+40.7682082,-073.8274033
327,11552,11552,+40.6929795,-073.6524157
328,11553,11553,+40.7064303,-073.5916223
329,11554,11554,+40.7201151,-073.5588611
330,11556,11556,+40.7196827,-073.5838071
331,11557,11557,+40.6371756,-073.6919759
332,11558,11558,+40.6053572,-073.6490463
333,11934,11934,+40.7983593,-072.7942969
334,11935,11935,+41.0212229,-072.4869577
335,11937,11937,+41.0116270,-072.1654873
336,11939,11939,+41.1231161,-072.3153504
337,11940,11940,+40.8126625,-072.7522315
338,11941,11941,+40.8301596,-072.7297614
339,11942,11942,+40.8507772,-072.5822265
340,11944,11944,+41.1040304,-072.3715407
341,11946,11946,+40.8702696,-072.5217040
342,12130,12130,+42.4422232,-073.6593798
343,12131,12131,+42.4575136,-074.4645768
344,12132,12132,+42.4705225,-073.6300291
345,12134,12134,+43.2662225,-074.2285349
346,12136,12136,+42.4348362,-073.5595056
347,12137,12137,+42.8603507,-074.1330571
348,12138,12138,+42.7488438,-073.3704132
349,12139,12139,+43.5001844,-074.5795883
350,12528,12528,+41.7220538,-074.0094816
351,12529,12529,+42.1987396,-073.5427277
352,12530,12530,+42.2074670,-073.6877635
353,12531,12531,+41.5405550,-073.6716707
354,12533,12533,+41.5616434,-073.7876046
355,12534,12534,+42.2173454,-073.7522560
356,12538,12538,+41.7923447,-073.8931415
357,12540,12540,+41.6712021,-073.7248908
358,12542,12542,+41.6138757,-074.0150142
359,12543,12543,+41.4955400,-074.1731010
360,12545,12545,+41.7829123,-073.6693435
361,12546,12546,+41.9479998,-073.5233570
362,12547,12547,+41.6606867,-073.9865669
363,12548,12548,+41.6577011,-074.1018021
364,12762,12762,+41.6643640,-074.7922039
365,12763,12763,+41.6763482,-074.5227743
366,12764,12764,+41.5915529,-074.9955559
367,12765,12765,+41.8523318,-074.6211569
368,12766,12766,+41.8152083,-074.9788544
369,12767,12767,+41.8380927,-074.9944150
370,12768,12768,+41.8644433,-074.7300220
371,12769,12769,+41.6579428,-074.4672801
372,12770,12770,+41.4491122,-074.8431151
373,12874,12874,+43.6905604,-073.5497464
374,12878,12878,+43.4150247,-074.0274499
375,12883,12883,+43.8366231,-073.5528049
376,13040,13040,+42.5596492,-075.9307608
377,13041,13041,+43.1920890,-076.1923020
378,13148,13148,+42.9148720,-076.7834337
379,13152,13152,+42.8908395,-076.3726196
380,13153,13153,+42.9965569,-076.4536274
381,13155,13155,+42.6745458,-075.7767261
382,13156,13156,+43.3259942,-076.6613042
383,13807,13807,+42.6074615,-074.9882349
384,13808,13808,+42.5252329,-075.2622024
385,13809,13809,+42.4038133,-075.3955423
386,13810,13810,+42.6068175,-075.1083628
387,11355,11355,+40.7514754,-073.8210311
388,11356,11356,+40.7848502,-073.8412794
389,11559,11559,+40.6054799,-073.7162076
390,11560,11560,+40.8807571,-073.5887244
391,11561,11561,+40.5890812,-073.6481781
392,11563,11563,+40.6572531,-073.6737281
393,11565,11565,+40.6750614,-073.6716661
394,11566,11566,+40.6632394,-073.5537791
395,11568,11568,+40.7869637,-073.5965045
396,11569,11569,+40.5897860,-073.5823049
397,11570,11570,+40.6660658,-073.6384086
398,11572,11572,+40.6317721,-073.6366239
399,11575,11575,+40.6804215,-073.5848770
400,11576,11576,+40.7994137,-073.6474672
401,11577,11577,+40.7832660,-073.6388657
402,11947,11947,+40.9506588,-072.5710528
403,11948,11948,+40.9637685,-072.5535541
404,11949,11949,+40.8664115,-072.8045598
405,11950,11950,+40.8080323,-072.8470103
406,11951,11951,+40.7631636,-072.8303437
407,11952,11952,+41.0016483,-072.5475988
408,11953,11953,+40.8932717,-072.9517726
409,11954,11954,+41.0475648,-071.9463862
410,12140,12140,+42.6966836,-073.5400645
411,12143,12143,+42.4898182,-073.8552379
412,12144,12144,+42.6278355,-073.7178418
413,12147,12147,+42.5186111,-074.1588398
414,12148,12148,+42.8277930,-073.8481638
415,12149,12149,+42.6166533,-074.5634451
416,12150,12150,+42.8805209,-074.0526862
417,12151,12151,+42.9226971,-073.7872251
418,12153,12153,+42.6299226,-073.4733411
419,12154,12154,+42.9374604,-073.6057753
420,12155,12155,+42.5963565,-074.8276548
421,12156,12156,+42.4835037,-073.7472545
422,12549,12549,+41.5280311,-074.2593647
423,12550,12550,+41.5395739,-074.0572227
424,12553,12553,+41.4557136,-074.0749006
425,12561,12561,+41.7593068,-074.0960584
426,12563,12563,+41.4991890,-073.5872259
427,12771,12771,+41.3743803,-074.6242785
428,12775,12775,+41.6156545,-074.5923313
429,12776,12776,+41.9633822,-074.9586807
430,12884,12884,+43.0883964,-073.5912911
431,12885,12885,+43.5230523,-073.8065610
432,12886,12886,+43.6827037,-073.9346603
433,13042,13042,+43.2604503,-075.8525802
434,13044,13044,+43.2912491,-075.9962410
435,13157,13157,+43.2066518,-075.7214313
436,13158,13158,+42.6969352,-075.9510680
437,13159,13159,+42.8027683,-076.1117693
438,13160,13160,+42.8275983,-076.6489043
439,13162,13162,+43.1850454,-075.7147412
440,13163,13163,+43.0796788,-075.7105224
441,13164,13164,+43.0968908,-076.3125777
442,13439,13439,+42.8573164,-074.9952753
443,13440,13440,+43.2157713,-075.4617785
444,13441,13441,+43.2263767,-075.4082481
445,13450,13450,+42.7019254,-074.8102976
446,13452,13452,+43.0430559,-074.6304701
447,13454,13454,+43.2198348,-074.7576996
448,13456,13456,+43.0000287,-075.2554955
449,13459,13459,+42.7750053,-074.5886737
450,13460,13460,+42.6870372,-075.4428422
451,13461,13461,+43.0704670,-075.5991255
452,13464,13464,+42.6879727,-075.6157878
453,13468,13468,+42.8482541,-074.8519245
454,13666,13666,+44.2184854,-074.9260756
455,13811,13811,+42.2349257,-076.1640542
456,06390,06390,+41.2735763,-071.9689932
457,10001,10001,+40.7506720,-073.9972808
458,10002,10002,+40.7157619,-073.9862580
459,10003,10003,+40.7318292,-073.9891809
460,10004,10004,+40.6886296,-074.0182442
461,10005,10005,+40.7059736,-074.0087681
462,10006,10006,+40.7096144,-074.0129537
463,10007,10007,+40.7138637,-074.0078064
464,10459,10459,+40.8258746,-073.8929714
465,10460,10460,+40.8417639,-073.8795691
466,10461,10461,+40.8474345,-073.8405536
467,10462,10462,+40.8432795,-073.8603886
468,10463,10463,+40.8806784,-073.9065404
469,10464,10464,+40.8677868,-073.7999204
470,10465,10465,+40.8232769,-073.8256019
471,10466,10466,+40.8909641,-073.8462394
472,10986,10986,+41.2852346,-073.9987104
473,10987,10987,+41.1869279,-074.2373501
474,10988,10988,+41.3020809,-074.5485560
475,10989,10989,+41.1229554,-073.9380305
476,10990,10990,+41.2674476,-074.3640107
477,10992,10992,+41.4261608,-074.1643465
478,10993,10993,+41.2098964,-073.9738416
479,11357,11357,+40.7863945,-073.8108618
